,ids1,ids2,images1,images2,result,tiers,votes1,votes2
131,1875,1986,https://img.animebracket.com/1g3.jpg,https://img.animebracket.com/1j6.jpg,1,1,2159,945
132,2130,2225,https://img.animebracket.com/1n6.jpg,https://img.animebracket.com/1pt.jpg,1,1,2372,812
133,2121,2457,https://img.animebracket.com/1mx.jpg,https://img.animebracket.com/1w9.jpg,1,1,1593,1128
134,1898,2308,https://img.animebracket.com/1gq.jpg,https://img.animebracket.com/1s4.jpg,1,1,2828,584
135,1783,2382,https://img.animebracket.com/1dj.jpg,https://img.animebracket.com/1u6.jpg,1,1,1790,1218
136,1980,1927,https://img.animebracket.com/1j0.jpg,https://img.animebracket.com/1hj.jpg,1,1,2600,926
137,2307,1960,https://img.animebracket.com/1s3.jpg,https://img.animebracket.com/1ig.jpg,0,1,1314,1711
138,1899,2098,https://img.animebracket.com/1gr.jpg,https://img.animebracket.com/1ma.jpg,1,1,2516,903
139,1825,1824,https://img.animebracket.com/1ep.jpg,https://img.animebracket.com/1eo.jpg,1,1,1991,869
140,1818,2246,https://img.animebracket.com/1ei.jpg,https://img.animebracket.com/1qe.jpg,1,1,2843,521
141,1887,2375,https://img.animebracket.com/1gf.jpg,https://img.animebracket.com/1tz.jpg,1,1,1934,853
142,1900,2056,https://img.animebracket.com/1gs.jpg,https://img.animebracket.com/1l4.jpg,1,1,2189,1006
143,1970,1767,https://img.animebracket.com/1iq.jpg,https://img.animebracket.com/1d3.jpg,1,1,1903,1130
144,1849,2429,https://img.animebracket.com/1fd.jpg,https://img.animebracket.com/1vh.jpg,1,1,3028,456
145,2139,2289,https://img.animebracket.com/1nf.jpg,https://img.animebracket.com/1rl.jpg,1,1,1505,1402
146,2102,2004,https://img.animebracket.com/1me.jpg,https://img.animebracket.com/1jo.jpg,1,1,2321,678
147,1831,2040,https://img.animebracket.com/1ev.jpg,https://img.animebracket.com/1ko.jpg,1,1,2011,899
148,1854,2239,https://img.animebracket.com/1fi.jpg,https://img.animebracket.com/1q7.jpg,1,1,2517,451
149,2103,2261,https://img.animebracket.com/1mf.jpg,https://img.animebracket.com/1qt.jpg,1,1,1690,1518
150,1800,2443,https://img.animebracket.com/1e0.jpg,https://img.animebracket.com/1vv.jpg,1,1,2810,620
151,1811,2132,https://img.animebracket.com/1eb.jpg,https://img.animebracket.com/1n8.jpg,1,1,2215,856
152,1949,2441,https://img.animebracket.com/1i5.jpg,https://img.animebracket.com/1vt.jpg,1,1,2914,489
153,1998,2231,https://img.animebracket.com/1ji.jpg,https://img.animebracket.com/1pz.jpg,0,1,1390,1659
154,2017,1867,https://img.animebracket.com/1k1.jpg,https://img.animebracket.com/1fv.jpg,1,1,2065,1073
155,2119,1799,https://img.animebracket.com/1mv.jpg,https://img.animebracket.com/1dz.jpg,1,1,1913,917
156,2039,1985,https://img.animebracket.com/1kn.jpg,https://img.animebracket.com/1j5.jpg,1,1,2814,535
157,2154,2256,https://img.animebracket.com/1nu.jpg,https://img.animebracket.com/1qo.jpg,1,1,2096,904
158,1902,2137,https://img.animebracket.com/1gu.jpg,https://img.animebracket.com/1nd.jpg,1,1,2423,831
159,1840,2290,https://img.animebracket.com/1f4.jpg,https://img.animebracket.com/1rm.jpg,1,1,1905,1063
160,2053,2419,https://img.animebracket.com/1l1.jpg,https://img.animebracket.com/1v7.jpg,1,1,3862,518
161,2223,2165,https://img.animebracket.com/1pr.jpg,https://img.animebracket.com/1o5.jpg,1,1,1855,1565
162,1797,2218,https://img.animebracket.com/1dx.jpg,https://img.animebracket.com/1pm.jpg,1,1,2392,959
163,1957,2330,https://img.animebracket.com/1id.jpg,https://img.animebracket.com/1sq.jpg,1,1,2030,1204
164,2066,2426,https://img.animebracket.com/1le.jpg,https://img.animebracket.com/1ve.jpg,1,1,2571,941
165,1917,1971,https://img.animebracket.com/1h9.jpg,https://img.animebracket.com/1ir.jpg,1,1,1881,1476
166,1897,2359,https://img.animebracket.com/1gp.jpg,https://img.animebracket.com/1tj.jpg,1,1,3261,539
167,2310,1862,https://img.animebracket.com/1s6.jpg,https://img.animebracket.com/1fq.jpg,0,1,1545,1876
168,1772,2371,https://img.animebracket.com/1d8.jpg,https://img.animebracket.com/1tv.jpg,1,1,3262,658
169,1973,1926,https://img.animebracket.com/1it.jpg,https://img.animebracket.com/1hi.jpg,1,1,1918,1541
170,1770,2255,https://img.animebracket.com/1d6.jpg,https://img.animebracket.com/1qn.jpg,1,1,2710,973
171,1814,2219,https://img.animebracket.com/1ee.jpg,https://img.animebracket.com/1pn.jpg,1,1,2434,785
172,2090,2454,https://img.animebracket.com/1m2.jpg,https://img.animebracket.com/1w6.jpg,1,1,2923,1004
173,2014,1982,https://img.animebracket.com/1jy.jpg,https://img.animebracket.com/1j2.jpg,1,1,2127,1462
174,2054,2264,https://img.animebracket.com/1l2.jpg,https://img.animebracket.com/1qw.jpg,1,1,2246,1068
175,1820,1774,https://img.animebracket.com/1ek.jpg,https://img.animebracket.com/1da.jpg,1,1,2347,998
176,2003,1839,https://img.animebracket.com/1jn.jpg,https://img.animebracket.com/1f3.jpg,1,1,3415,707
